"Name","Max","TB2_SN3.report","Lineage"
"Candidatus Pelagibacter ubique","297","297","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Pelagibacterales>Candidatus&nbsp;Pelagibacteraceae>Candidatus&nbsp;Pelagibacter"
"Candidatus Pelagibacter giovannonii","218","218","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Pelagibacterales>Candidatus&nbsp;Pelagibacteraceae>Candidatus&nbsp;Pelagibacter"
"Vibrio splendidus","175","175","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Candidatus Pelagibacter sp. FZCC0015","163","163","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Pelagibacterales>Candidatus&nbsp;Pelagibacteraceae>Candidatus&nbsp;Pelagibacter>unclassified&nbsp;Candidatus&nbsp;Pelagibacter"
"Candidatus Pelagibacter sp. HIMB1321","72","72","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Pelagibacterales>Candidatus&nbsp;Pelagibacteraceae>Candidatus&nbsp;Pelagibacter>unclassified&nbsp;Candidatus&nbsp;Pelagibacter"
"Candidatus Pelagibacter sp. RS39","53","53","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Pelagibacterales>Candidatus&nbsp;Pelagibacteraceae>Candidatus&nbsp;Pelagibacter>unclassified&nbsp;Candidatus&nbsp;Pelagibacter"
"Candidatus Pelagibacter sp. IMCC9063","51","51","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Pelagibacterales>Candidatus&nbsp;Pelagibacteraceae>Candidatus&nbsp;Pelagibacter>unclassified&nbsp;Candidatus&nbsp;Pelagibacter"
"Vibrio cyclitrophicus","40","40","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Candidatus Pelagibacter sp. RS40","39","39","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Alphaproteobacteria>Candidatus&nbsp;Pelagibacterales>Candidatus&nbsp;Pelagibacteraceae>Candidatus&nbsp;Pelagibacter>unclassified&nbsp;Candidatus&nbsp;Pelagibacter"
"Vibrio sp. J383","12","12","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio>unclassified&nbsp;Vibrio"
"Paraglaciecola mesophila","12","12","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Alteromonadaceae>Paraglaciecola"
"Pseudoalteromonas marina","12","12","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas"
"Pseudoalteromonas sp. PS1M3","10","10","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae>Pseudoalteromonas>unclassified&nbsp;Pseudoalteromonas"
"Buchnera aphidicola","10","10","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Erwiniaceae>Buchnera"
"Vibrio crassostreae","8","8","cellular&nbsp;organisms>Bacteria>Pseudomonadota>Gammaproteobacteria>Vibrionales>Vibrionaceae>Vibrio"
"Polaribacter sp. HL-MS24","8","8","cellular&nbsp;organisms>Bacteria>FCB&nbsp;group>Bacteroidota/Chlorobiota&nbsp;group>Bacteroidota>Flavobacteriia>Flavobacteriales>Flavobacteriaceae>Polaribacter>unclassified&nbsp;Polaribacter"
